ym,n,med,seg
2025-07,2,1590.0,rest
2025-08,31,1266.0,rest
2025-09,52,1014.0,rest
2025-10,77,1473.0,rest
2025-11,119,1790.0,rest
2025-12,174,1106.5,rest
2026-01,229,874.0,rest
2026-02,254,1020.5,rest
2026-03,307,522.0,rest
2026-04,395,446.0,rest
2026-05,526,551.5,rest
2026-06,212,399.5,rest
