ym,n,med,seg
2025-01,3,1671.0,top20
2025-02,25,3045.0,top20
2025-03,26,7148.5,top20
2025-04,23,10599.0,top20
2025-05,27,5692.0,top20
2025-06,83,272.0,top20
2025-07,57,2883.0,top20
2025-08,113,6377.0,top20
2025-09,163,2420.0,top20
2025-10,179,7171.0,top20
2025-11,203,4082.0,top20
2025-12,261,3592.0,top20
2026-01,450,2746.0,top20
2026-02,396,1948.0,top20
2026-03,348,2509.0,top20
2026-04,338,5876.0,top20
2026-05,380,3277.5,top20
2026-06,156,1856.0,top20
