ym,n,med,seg
2025-01,3,1671.0,all
2025-02,25,3045.0,all
2025-03,26,7148.5,all
2025-04,23,10599.0,all
2025-05,27,5692.0,all
2025-06,83,272.0,all
2025-07,59,2808.0,all
2025-08,144,4542.5,all
2025-09,215,1826.0,all
2025-10,256,4122.5,all
2025-11,322,2748.0,all
2025-12,435,2082.0,all
2026-01,679,1854.0,all
2026-02,650,1437.5,all
2026-03,655,1072.0,all
2026-04,733,1276.0,all
2026-05,906,1341.0,all
2026-06,368,820.0,all
