track_id,video_id,handle,track_title,youtube_title,matched_hymn,hymn_year,hymn_status,match_score,pd_class,over_threshold,n_shared_grams,n_incipit_grams,n_distinctive,verdict,shared_phrases,distinctive_phrases,track_start_s,track_end_s,match_at_s,url_track,url_match,hymn_source
5n1cYN-yDmo#01,5n1cYN-yDmo,revivalworshiproommusic,Amazing Grace,"Bible R&B Worship To Heal the Soul Vol.3 | Prayer, Meditation & Reflection Gospel Songs 🎵✨",Amazing Grace,1779,pd,0.444,HYMN_PARTIAL_PD,True,4,9,4,TRÍCH DẪN THẬT,amazing grace how sweet | grace how sweet the | how sweet the sound | sweet the sound that,amazing grace how sweet | grace how sweet the | how sweet the sound | sweet the sound that,9,307,101,https://youtu.be/5n1cYN-yDmo?t=9,https://youtu.be/5n1cYN-yDmo?t=101,https://en.wikipedia.org/wiki/Amazing_Grace
eD2IMkcreEI#07,eD2IMkcreEI,revivalworshiproommusic,Amazing Grace,God Heals the Soul | Soulful Blues Gospel & R&B Christian Worship Mix,Amazing Grace,1779,pd,0.333,NEW_COMPOSITION,False,3,9,3,TRÍCH DẪN THẬT,amazing grace how sweet | grace how sweet the | how sweet the sound,amazing grace how sweet | grace how sweet the | how sweet the sound,1573,1815,1747,https://youtu.be/eD2IMkcreEI?t=1573,https://youtu.be/eD2IMkcreEI?t=1747,https://en.wikipedia.org/wiki/Amazing_Grace
942nxbPorY4#02,942nxbPorY4,revivalworshiproommusic,Amazing Grace,Soaked in God’s Presence – Soulful Christian R&B & Blues Playlist | Praise & Worship for Reflection,Amazing Grace,1779,pd,0.333,NEW_COMPOSITION,False,3,9,3,TRÍCH DẪN THẬT,amazing grace how sweet | grace how sweet the | how sweet the sound,amazing grace how sweet | grace how sweet the | how sweet the sound,249,512,253,https://youtu.be/942nxbPorY4?t=249,https://youtu.be/942nxbPorY4?t=253,https://en.wikipedia.org/wiki/Amazing_Grace
Ss0pA-Cw8V0#11,Ss0pA-Cw8V0,revivalworshiproommusic,Amazing Grace,Soulful Christian Hip Hop Worship Songs | Faith Over Fear Rap Trap Music Mix,Amazing Grace,1779,pd,0.333,NEW_COMPOSITION,False,3,9,3,TRÍCH DẪN THẬT,amazing grace how sweet | grace how sweet the | how sweet the sound,amazing grace how sweet | grace how sweet the | how sweet the sound,2103,2346,2160,https://youtu.be/Ss0pA-Cw8V0?t=2103,https://youtu.be/Ss0pA-Cw8V0?t=2160,https://en.wikipedia.org/wiki/Amazing_Grace
_ycC4y-4sYo#07,_ycC4y-4sYo,saltandlight-k2z,Blessed Assurance,"Soul Saving ""BLUES"" Gospel Music: Modern Christian Praise and Worship Music PLAYLIST",Blessed Assurance,1873,pd,0.333,NEW_COMPOSITION,False,3,9,3,TRÍCH DẪN THẬT,what a foretaste of | a foretaste of glory | foretaste of glory divine,what a foretaste of | a foretaste of glory | foretaste of glory divine,1283,1488,1311,https://youtu.be/_ycC4y-4sYo?t=1283,https://youtu.be/_ycC4y-4sYo?t=1311,https://en.wikipedia.org/wiki/Blessed_Assurance
5n1cYN-yDmo#09,5n1cYN-yDmo,revivalworshiproommusic,I'm Gonna Be Ready,"Bible R&B Worship To Heal the Soul Vol.3 | Prayer, Meditation & Reflection Gospel Songs 🎵✨",Every Time I Feel the Spirit,1867,pd,0.286,NEW_COMPOSITION,False,2,7,2,TRÍCH DẪN THẬT,every time i feel | time i feel the,every time i feel | time i feel the,2321,2603,2341,https://youtu.be/5n1cYN-yDmo?t=2321,https://youtu.be/5n1cYN-yDmo?t=2341,https://en.wikipedia.org/wiki/Slave_Songs_of_the_United_States
2y2CcCzAtyM#04,2y2CcCzAtyM,stillworshipmusic,4 — Great Is Thy Faithfulness,Be Still | 100 Minutes of Relaxing Black Gospel Music for Rest & Prayer,Great Is Thy Faithfulness,1923,pd,0.2,NEW_COMPOSITION,False,1,5,1,TRÍCH DẪN THẬT,great is thy faithfulness,great is thy faithfulness,1020,1322,1032,https://youtu.be/2y2CcCzAtyM?t=1020,https://youtu.be/2y2CcCzAtyM?t=1032,https://en.wikipedia.org/wiki/Great_Is_Thy_Faithfulness
bcNWg9ca92Y#04,bcNWg9ca92Y,revivalworshiproommusic,At The Cross,"Bible R&B Worship To Heal the Soul Vol.5 | Prayer, Meditation & Reflection Gospel Songs",Every Time I Feel the Spirit,1867,pd,0.143,NEW_COMPOSITION,False,1,7,1,TRÍCH DẪN THẬT,every time i feel,every time i feel,800,965,825,https://youtu.be/bcNWg9ca92Y?t=800,https://youtu.be/bcNWg9ca92Y?t=825,https://en.wikipedia.org/wiki/Slave_Songs_of_the_United_States
zfRJe2HhUjs#02,zfRJe2HhUjs,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,Green Pastures Blues (Psalm 23),What the Psalms Would Sound Like in a Blues Song...,I'll Fly Away,1929,pd,0.125,SCRIPTURE_PARAPHRASE,False,1,8,0,TRÙNG NGẪU NHIÊN,when this life is,,500,863,719,https://youtu.be/zfRJe2HhUjs?t=500,https://youtu.be/zfRJe2HhUjs?t=719,https://en.wikipedia.org/wiki/I'll_Fly_Away
